timestamp(ms),ECG_comp,Detetcted R wave,ECG_amp,
"1742240419.632",,,"2.21",
"1742240419.634","0",,,
"1742240419.635",,"0",,
"1742240419.637",,,"2.22",
"1742240419.639","0",,,
"1742240419.64",,"0",,
"1742240419.642",,,"2.22",
"1742240419.644","0",,,
"1742240419.645",,"0",,
"1742240419.647",,,"2.22",
"1742240419.649","0",,,
"1742240419.651",,"0",,
"1742240419.652",,,"2.23",
"1742240419.653","0",,,
"1742240419.655",,"0",,
"1742240419.657",,,"2.23",
"1742240419.658","0",,,
"1742240419.66",,"0",,
"1742240419.662",,,"2.24",
"1742240419.663","0",,,
"1742240419.665",,"0",,
"1742240419.667",,,"2.24",
"1742240419.668","0",,,
"1742240419.67",,"0",,
"1742240419.672",,,"2.25",
"1742240419.673","0",,,
"1742240419.675",,"0",,
"1742240419.677",,,"2.25",
"1742240419.678","0",,,
"1742240419.68",,"0",,
"1742240419.682",,,"2.26",
"1742240419.683","0",,,
"1742240419.685",,"0",,
"1742240419.687",,,"2.25",
"1742240419.688","0",,,
"1742240419.69",,"0",,
"1742240419.692",,,"2.27",
"1742240419.693","0",,,
"1742240419.695",,"0",,
"1742240419.696",,,"2.27",
"1742240419.698","0",,,
"1742240419.699",,"0",,
"1742240419.701",,,"2.27",
"1742240419.703","0",,,
"1742240419.705",,"0",,
"1742240419.706",,,"2.28",
"1742240419.708","0",,,
"1742240419.71",,"0",,
"1742240419.712",,,"2.28",
"1742240419.713","0",,,
"1742240419.715",,"0",,
"1742240419.717",,,"2.28",
"1742240419.718","0",,,
"1742240419.72",,"0",,
"1742240419.722",,,"2.29",
"1742240419.723","0",,,
"1742240419.725",,"0",,
"1742240419.727",,,"2.28",
"1742240419.728","0",,,
"1742240419.73",,"0",,
"1742240419.732",,,"2.28",
"1742240419.733","0",,,
"1742240419.735",,"0",,
"1742240419.736",,,"2.29",
"1742240419.738","0",,,
"1742240419.74",,"0",,
"1742240419.741",,,"2.29",
"1742240419.743","0",,,
"1742240419.744",,"0",,
"1742240419.746",,,"2.3",
"1742240419.748","0",,,
"1742240419.749",,"0",,
"1742240419.751",,,"2.3",
"1742240419.753","0",,,
"1742240419.754",,"0",,
"1742240419.756",,,"2.3",
"1742240419.758","0",,,
"1742240419.76",,"0",,
"1742240419.761",,,"2.3",
"1742240419.763","0",,,
"1742240419.765",,"0",,
"1742240419.767",,,"2.31",
"1742240419.768","0",,,
"1742240419.77",,"0",,
"1742240419.772",,,"2.31",
"1742240419.773","0",,,
"1742240419.775",,"0",,
"1742240419.776",,,"2.3",
"1742240419.778","0",,,
"1742240419.779",,"0",,
"1742240419.781",,,"2.32",
"1742240419.782","0",,,
"1742240419.784",,"0",,
"1742240419.786",,,"2.33",
"1742240419.787","0",,,
"1742240419.789",,"0",,
"1742240419.791",,,"2.32",
"1742240419.792","0",,,
"1742240419.794",,"0",,
"1742240419.796",,,"2.33",
"1742240419.798","0",,,
"1742240419.799",,"0",,
"1742240419.801",,,"2.32",
"1742240419.803","0",,,
"1742240419.804",,"0",,
"1742240419.806",,,"2.32",
"1742240419.808","0",,,
"1742240419.809",,"0",,
"1742240419.811",,,"2.33",
"1742240419.813","0",,,
"1742240419.815",,"0",,
"1742240419.817",,,"2.34",
"1742240419.818","0",,,
"1742240419.82",,"0",,
"1742240419.821",,,"2.32",
"1742240419.822","0",,,
"1742240419.824",,"0",,
"1742240419.826",,,"2.34",
"1742240419.827","0",,,
"1742240419.829",,"0",,
"1742240419.831",,,"2.34",
"1742240419.832","0",,,
"1742240419.834",,"0",,
"1742240419.836",,,"2.33",
"1742240419.837","0",,,
"1742240419.839",,"0",,
"1742240419.841",,,"2.32",
"1742240419.842","0",,,
"1742240419.844",,"0",,
"1742240419.846",,,"2.34",
"1742240419.847","0",,,
"1742240419.849",,"0",,
"1742240419.851",,,"2.34",
"1742240419.852","0",,,
"1742240419.854",,"0",,
"1742240419.856",,,"2.35",
"1742240419.858","0",,,
"1742240419.859",,"0",,
"1742240419.861",,,"2.34",
"1742240419.863","0",,,
"1742240419.864",,"0",,
"1742240419.866",,,"2.35",
"1742240419.868","0",,,
"1742240419.87",,"0",,
"1742240419.871",,,"2.34",
"1742240419.873","0",,,
"1742240419.875",,"0",,
"1742240419.877",,,"2.35",
"1742240419.878","0",,,
"1742240419.88",,"0",,
"1742240419.882",,,"2.35",
"1742240419.883","0",,,
"1742240419.885",,"0",,
"1742240419.887",,,"2.34",
"1742240419.888","0",,,
"1742240419.89",,"0",,
"1742240419.892",,,"2.35",
"1742240419.893","0",,,
"1742240419.895",,"0",,
"1742240419.897",,,"2.35",
"1742240419.898","0",,,
"1742240419.9",,"0",,
"1742240419.902",,,"2.35",
"1742240419.903","0",,,
"1742240419.905",,"0",,
"1742240419.906",,,"2.36",
"1742240419.908","0",,,
"1742240419.91",,"0",,
"1742240419.911",,,"2.36",
"1742240419.913","0",,,
"1742240419.914",,"0",,
"1742240419.916",,,"2.36",
"1742240419.918","0",,,
"1742240419.919",,"0",,
"1742240419.921",,,"2.35",
"1742240419.923","0",,,
"1742240419.925",,"0",,
"1742240419.926",,,"2.37",
"1742240419.928","0",,,
"1742240419.93",,"0",,
"1742240419.932",,,"2.36",
"1742240419.933","0",,,
"1742240419.935",,"0",,
"1742240419.937",,,"2.36",
"1742240419.938","0",,,
"1742240419.94",,"0",,
"1742240419.942",,,"2.36",
"1742240419.943","0",,,
"1742240419.945",,"0",,
"1742240419.946",,,"2.36",
"1742240419.948","0",,,
"1742240419.949",,"0",,
"1742240419.951",,,"2.35",
"1742240419.952","0",,,
"1742240419.954",,"0",,
"1742240419.956",,,"2.38",
