timestamp(ms),Detected_R_wave,Pace,ECG_amp,ECG_comp,
"1742502895.291",,,"2.18",,
"1742502895.292",,,,"0",
"1742502895.294","0",,,,
"1742502895.295",,"0",,,
"1742502895.296",,,"2.19",,
"1742502895.297",,,,"0",
"1742502895.299","0",,,,
"1742502895.3",,"0",,,
"1742502895.301",,,"2.2",,
"1742502895.302",,,,"0",
"1742502895.304","0",,,,
"1742502895.305",,"0",,,
"1742502895.306",,,"2.19",,
"1742502895.308",,,,"0",
"1742502895.309","0",,,,
"1742502895.311",,"0",,,
"1742502895.312",,,"2.2",,
"1742502895.313",,,,"0",
"1742502895.314","0",,,,
"1742502895.316",,"0",,,
"1742502895.317",,,"2.2",,
"1742502895.318",,,,"0",
"1742502895.32","0",,,,
"1742502895.321",,"0",,,
"1742502895.322",,,"2.21",,
"1742502895.323",,,,"0",
"1742502895.325","0",,,,
"1742502895.326",,"0",,,
"1742502895.327",,,"2.21",,
"1742502895.328",,,,"0",
"1742502895.33","0",,,,
"1742502895.331",,"0",,,
"1742502895.332",,,"2.21",,
"1742502895.334",,,,"0",
"1742502895.335","0",,,,
"1742502895.336",,"0",,,
"1742502895.337",,,"2.21",,
"1742502895.339",,,,"0",
"1742502895.341","0","0",,,
"1742502895.343",,,"2.21",,
"1742502895.344",,,,"0",
"1742502895.346","0","0",,,
"1742502895.348",,,"2.22",,
"1742502895.349",,,,"0",
"1742502895.351","0",,,,
"1742502895.352",,"0",,,
"1742502895.353",,,"2.22",,
"1742502895.354",,,,"0",
"1742502895.356","0",,,,
"1742502895.357",,"0",,,
"1742502895.358",,,"2.22",,
"1742502895.359",,,,"0",
"1742502895.361","0",,,,
"1742502895.362",,"0",,,
"1742502895.363",,,"2.23",,
"1742502895.365",,,,"0",
"1742502895.366","0",,,,
"1742502895.367",,"0",,,
"1742502895.369",,,"2.23",,
"1742502895.37",,,,"0",
"1742502895.372","0","0",,,
"1742502895.374",,,"2.22",,
"1742502895.375",,,,"0",
"1742502895.377","0",,,,
"1742502895.378",,"0",,,
"1742502895.379",,,"2.23",,
"1742502895.38",,,,"0",
"1742502895.382","0",,,,
"1742502895.383",,"0",,,
"1742502895.384",,,"2.23",,
"1742502895.386",,,,"0",
"1742502895.387","0",,,,
"1742502895.388",,"0",,,
