timestamp(ms),ECG_comp,Detected_R_wave,Pace,ECG_amp,
"1742503229.198",,"0",,,
"1742503229.199",,,"0",,
"1742503229.2",,,,"2.29",
"1742503229.202","0",,,,
"1742503229.203",,"0",,,
"1742503229.204",,,"0",,
"1742503229.205",,,,"2.28",
"1742503229.207","0",,,,
"1742503229.209",,"0","0",,
"1742503229.211",,,,"2.29",
"1742503229.212","0",,,,
"1742503229.214",,"0","0",,
"1742503229.216",,,,"2.29",
"1742503229.217","0",,,,
"1742503229.219",,"0",,,
"1742503229.22",,,"0",,
"1742503229.221",,,,"2.29",
"1742503229.222","0",,,,
"1742503229.224",,"0",,,
"1742503229.225",,,"0",,
"1742503229.226",,,,"2.28",
"1742503229.228","0",,,,
"1742503229.229",,"0",,,
"1742503229.23",,,"0",,
"1742503229.231",,,,"2.29",
"1742503229.233","0",,,,
"1742503229.234",,"0",,,
"1742503229.235",,,"0",,
"1742503229.236",,,,"2.29",
"1742503229.238","0",,,,
"1742503229.24",,"0","0",,
"1742503229.242",,,,"2.29",
"1742503229.243","0",,,,
"1742503229.245",,"0",,,
"1742503229.246",,,"0",,
"1742503229.247",,,,"2.29",
"1742503229.248","0",,,,
"1742503229.25",,"0",,,
"1742503229.251",,,"0",,
"1742503229.252",,,,"2.29",
"1742503229.253","0",,,,
"1742503229.255",,"0",,,
"1742503229.256",,,"0",,
"1742503229.257",,,,"2.29",
"1742503229.259","0",,,,
"1742503229.26",,"0",,,
"1742503229.261",,,"0",,
"1742503229.263",,,,"2.29",
"1742503229.264","0",,,,
"1742503229.266",,"0","0",,
"1742503229.268",,,,"2.29",
"1742503229.269","0",,,,
"1742503229.271",,"0",,,
"1742503229.272",,,"0",,
"1742503229.273",,,,"2.29",
"1742503229.274","0",,,,
"1742503229.276",,"0",,,
"1742503229.277",,,"0",,
"1742503229.278",,,,"2.29",
"1742503229.279","0",,,,
"1742503229.281",,"0",,,
"1742503229.282",,,"0",,
"1742503229.283",,,,"2.3",
"1742503229.285","0",,,,
"1742503229.286",,"0",,,
"1742503229.287",,,"0",,
"1742503229.288",,,,"2.29",
"1742503229.29","0",,,,
"1742503229.292",,"0","0",,
"1742503229.294",,,,"2.29",
"1742503229.295","0",,,,
"1742503229.297",,"0",,,
"1742503229.298",,,"0",,
"1742503229.299",,,,"2.29",
"1742503229.3","0",,,,
"1742503229.302",,"0",,,
"1742503229.303",,,"0",,
"1742503229.304",,,,"2.29",
"1742503229.305","0",,,,
"1742503229.307",,"0",,,
"1742503229.308",,,"0",,
"1742503229.309",,,,"2.29",
"1742503229.311","0",,,,
"1742503229.312",,"0",,,
"1742503229.313",,,"0",,
"1742503229.314",,,,"2.3",
"1742503229.316","0",,,,
"1742503229.317",,"0",,,
"1742503229.318",,,"0",,
"1742503229.32",,,,"2.29",
"1742503229.321","0",,,,
"1742503229.323",,"0",,,
"1742503229.324",,,"0",,
"1742503229.325",,,,"2.29",
"1742503229.326","0",,,,
"1742503229.328",,"0",,,
"1742503229.329",,,"0",,
"1742503229.33",,,,"2.29",
"1742503229.331","0",,,,
"1742503229.333",,"0",,,
"1742503229.334",,,"0",,
"1742503229.335",,,,"2.29",
"1742503229.337","0",,,,
"1742503229.338",,"0",,,
"1742503229.339",,,"0",,
"1742503229.34",,,,"2.29",
"1742503229.342","0",,,,
"1742503229.344",,"0","0",,
"1742503229.346",,,,"2.29",
"1742503229.347","0",,,,
"1742503229.349",,"0","0",,
"1742503229.351",,,,"2.29",
"1742503229.352","0",,,,
"1742503229.354",,"0",,,
"1742503229.355",,,"0",,
"1742503229.356",,,,"2.29",
"1742503229.357","0",,,,
"1742503229.359",,"0",,,
"1742503229.36",,,"0",,
"1742503229.361",,,,"2.29",
"1742503229.362","0",,,,
"1742503229.364",,"0",,,
"1742503229.365",,,"0",,
"1742503229.366",,,,"2.29",
"1742503229.368","0",,,,
"1742503229.369",,"0",,,
"1742503229.37",,,"0",,
"1742503229.371",,,,"2.29",
"1742503229.373","0",,,,
"1742503229.375",,"0","0",,
"1742503229.377",,,,"2.29",
"1742503229.378","0",,,,
"1742503229.38",,"0",,,
"1742503229.381",,,"0",,
"1742503229.382",,,,"2.3",
"1742503229.383","0",,,,
"1742503229.385",,"0",,,
"1742503229.386",,,"0",,
"1742503229.387",,,,"2.29",
"1742503229.388","0",,,,
"1742503229.39",,"0",,,
"1742503229.391",,,"0",,
"1742503229.392",,,,"2.29",
"1742503229.394","0",,,,
"1742503229.395",,"0",,,
"1742503229.396",,,"0",,
"1742503229.397",,,,"2.3",
"1742503229.399","0",,,,
"1742503229.401",,"0","0",,
"1742503229.403",,,,"2.3",
"1742503229.404","0",,,,
"1742503229.406",,"0",,,
"1742503229.407",,,"0",,
"1742503229.408",,,,"2.29",
"1742503229.409","0",,,,
"1742503229.411",,"0",,,
"1742503229.412",,,"0",,
"1742503229.413",,,,"2.31",
"1742503229.414","0",,,,
"1742503229.416",,"0",,,
"1742503229.417",,,"0",,
"1742503229.418",,,,"2.31",
"1742503229.42","0",,,,
"1742503229.421",,"0",,,
"1742503229.422",,,"0",,
"1742503229.424",,,,"2.31",
"1742503229.425","0",,,,
"1742503229.427",,"0","0",,
"1742503229.429",,,,"2.32",
"1742503229.43","0",,,,
"1742503229.432",,"0",,,
"1742503229.433",,,"0",,
"1742503229.434",,,,"2.34",
"1742503229.435","0",,,,
"1742503229.437",,"0",,,
"1742503229.438",,,"0",,
"1742503229.439",,,,"2.35",
"1742503229.44","0",,,,
"1742503229.442",,"0",,,
"1742503229.443",,,"0",,
"1742503229.444",,,,"2.36",
"1742503229.446","0",,,,
"1742503229.447",,"0",,,
"1742503229.448",,,"0",,
"1742503229.449",,,,"2.37",
"1742503229.451","0",,,,
"1742503229.452",,"0",,,
"1742503229.453",,,"0",,
"1742503229.454",,,,"2.38",
"1742503229.456","0",,,,
"1742503229.458",,"0",,,
